event,userId,time,proMonthUpgrade,proYearUpgrade,monthPro,yearPro,basicYearUpgrade,monthBasic,yearBasic,amount
payment,0a9a9038-47ec-4c06-8803-b0169d55674f,1.67E+12,0,0,0,0,0,1,0,39.99
payment,d557ea1c-18b9-4495-8f28-27b3658450d1,1.67E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,4,0,159.96
payment,914b7c2d-6a59-4d9f-8359-b6c518ce94b1,1.67E+12,0,0,0,0,0,1,0,39.99
payment,8b522082-9a35-4fb8-925a-8f0ddc0fa6f9,1.67E+12,0,0,0,0,0,1,0,39.99
payment,4a1ef901-1884-4177-b1af-da0e4fd37dde,1.67E+12,0,0,0,0,0,1,0,39.99
payment,91d74534-8b2b-40eb-85ba-cfb8d942267a,1.67E+12,0,0,0,0,0,1,0,39.99
payment,1caf9860-4804-429a-84a3-e9e9eebed0ef,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ee7f9672-a500-4d8f-a3ee-e9d919445418,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ad250d6c-2cbc-4122-ab54-9fe318e17333,1.67E+12,0,0,0,0,0,1,0,39.99
payment,927c470f-ac35-42f7-9288-f776bf693229,1.67E+12,0,0,0,0,0,1,0,39.99
payment,f6ec19c3-c2ce-46a2-8a47-52f3bc0372e8,1.67E+12,0,0,0,0,0,1,0,39.99
payment,58d124d9-c1c6-43fc-afe1-ec39284de02a,1.67E+12,0,0,0,0,0,1,0,39.99
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.67E+12,0,0,0,0,0,1,0,39
payment,3f0be2d7-25af-44dd-9962-c84ca66b3194,1.67E+12,0,0,0,0,0,1,0,39.99
payment,395ffce2-89f4-40ad-a17c-eaf975694ea5,1.67E+12,0,0,0,0,0,1,0,39.99
payment,98870a9d-d281-4075-8a3e-32961b941c96,1.67E+12,0,0,0,0,0,2,0,79.98
payment,714e1c6a-7bce-4ff0-8edc-21ffd6f14491,1.67E+12,0,0,0,0,0,1,0,39.99
payment,4626a754-fa44-494a-86b5-bc83b94e130d,1.67E+12,0,0,0,0,0,1,0,39.99
payment,17798459-4740-47c6-954c-7c295db7024d,1.67E+12,0,0,0,0,0,1,0,39
payment,96a36131-dd40-4153-8603-2503a938d534,1.67E+12,0,0,0,0,0,1,0,39.99
payment,387b87d0-8348-4f0d-8844-972b5bedbf3b,1.67E+12,0,0,0,0,0,1,0,39.99
payment,3b7a3b10-a090-44f6-a0f2-859fd211ee23,1.67E+12,0,0,0,0,0,1,0,39.99
payment,0f0b862f-5eb7-4215-8c01-5ed7d40cd2b0,1.67E+12,0,0,0,0,0,1,0,39.99
payment,b30ecfe8-8fa2-4ca7-902e-ff58f6a4ad67,1.67E+12,0,0,0,0,0,1,0,39.99
payment,329a5e6f-5d13-42ec-aa4f-f5e5dd523fc3,1.67E+12,0,0,0,0,0,1,0,39.99
payment,95e78381-366c-433d-b0c6-2b9c06288880,1.67E+12,0,0,0,0,0,1,0,39.99
payment,e624ca4d-f18e-4a4a-87ef-06631bcdd817,1.67E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,4,0,159.96
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,1,0,39.99
payment,4dcaca72-0f48-4479-93c2-35f0f669cf75,1.67E+12,0,0,0,0,0,1,0,39.99
payment,2bfb3198-0a03-4ac7-913f-683cfc550a3d,1.67E+12,0,0,0,0,0,1,0,39.99
payment,95e78381-366c-433d-b0c6-2b9c06288880,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ec7faa96-4342-4b0c-862c-97d617b1e1cb,1.67E+12,0,0,0,0,0,1,0,39.99
payment,191f20a5-c3c3-41fb-9939-b40f77ee27d5,1.67E+12,0,0,0,0,0,1,0,39.99
payment,56a205fe-b61f-47a0-a3f8-8d1f07294912,1.67E+12,0,0,0,0,0,1,0,39.99
payment,800b982c-fe91-475c-8e61-2fdd630bc799,1.67E+12,0,0,0,0,0,1,0,39.99
payment,aba7f44a-ec0d-4b34-bc28-bfa048c03241,1.67E+12,0,0,0,0,0,1,0,39.99
payment,4084dd9a-b963-4043-8dc5-bcc17ed677f7,1.67E+12,0,0,0,0,0,1,0,39.99
payment,64715fc2-0c21-4f35-9286-7f93186c3703,1.67E+12,0,0,0,0,0,1,0,39.99
payment,058983ce-1fef-408e-9852-68eeebd4615c,1.67E+12,0,0,0,0,0,1,0,39.99
payment,1cee26cd-8ecd-4439-8502-18c72b365a66,1.67E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,1,0,39
payment,54fcb156-3f21-41f1-8d4a-3f2b550993a3,1.67E+12,0,0,1,0,0,0,0,119.97
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.67E+12,0,0,0,0,0,1,0,39
payment,3fb3f001-e803-41ed-9a88-b5c7865136bd,1.67E+12,0,0,0,0,0,1,0,39.99
payment,38c76394-976c-4639-bc1a-1475d837daaf,1.67E+12,0,0,0,0,0,1,0,39.99
payment,bcfd70a9-6409-4aa8-8e0e-a44d2f195f42,1.67E+12,0,0,0,0,0,1,0,39.99
payment,6a0f7022-3fb1-46ca-9a05-c70b51ecbd38,1.67E+12,0,0,0,0,0,1,0,39.99
payment,1671f7a0-cd12-4054-8bad-3981610a7c64,1.67E+12,0,0,0,0,0,1,0,29.99
payment,c0230fa2-e73e-46f1-805f-4de666f3a3d5,1.67E+12,0,0,0,0,0,1,0,39.99
payment,6d65786e-635a-48b3-a6ef-8033b975ea47,1.67E+12,0,0,0,0,0,1,0,39.99
payment,6a09a542-a0aa-457e-9aed-275d4598fea0,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ea6dbff7-a890-4549-b87b-0f49bdcf2627,1.67E+12,0,0,0,0,0,1,0,39.99
payment,2a0fe080-9d79-4150-8cc6-f7c8d1b5ab44,1.67E+12,0,0,0,0,0,1,0,39.99
payment,b214f44e-6781-49e2-b0f9-6a1bd19663d6,1.67E+12,0,0,0,0,0,1,0,39.99
payment,911325de-d0df-43b5-8ce8-8ad24ad2a06e,1.67E+12,0,0,0,0,0,1,0,29.99
payment,6d194cc7-22bb-4497-8389-a8ed01abb767,1.68E+12,0,0,0,0,0,1,0,39.99
payment,8d6926b7-12cf-4885-8ad2-7b77cb3c1502,1.68E+12,0,0,0,0,0,1,0,39
payment,4f3147e4-6117-436b-a420-d81b8446fc6f,1.68E+12,0,0,0,0,0,1,0,39.99
payment,d9f8f736-27ab-49a2-a5ca-144cc42dd1fa,1.68E+12,0,0,0,0,0,1,0,39.99
payment,464ee090-deb9-472a-b401-e7935f4cc551,1.68E+12,0,0,0,0,0,1,0,39.99
payment,0a9a9038-47ec-4c06-8803-b0169d55674f,1.68E+12,0,0,0,0,0,1,0,39.99
payment,7bc290b5-9467-43a4-8591-9b547e135949,1.68E+12,0,0,0,0,0,1,0,39.99
payment,f3336d9b-c994-4065-b2e5-4cd0829e84d4,1.68E+12,0,0,0,0,0,1,0,39.99
payment,19d0e527-acdb-4168-a347-1068b2168600,1.68E+12,0,0,0,0,0,1,0,39.99
payment,39fc3769-d79b-4b05-b400-d9c6f95c058e,1.68E+12,0,0,0,0,0,1,0,39.99
payment,1d530edd-eb00-48c1-a851-b93fdecff671,1.68E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.68E+12,0,0,0,0,0,4,0,159.96
payment,8b522082-9a35-4fb8-925a-8f0ddc0fa6f9,1.68E+12,0,0,0,0,0,1,0,39.99
payment,18ef5a9d-f403-4a1b-82cc-ceb413424392,1.68E+12,0,0,0,0,0,1,0,39.99
payment,1caf9860-4804-429a-84a3-e9e9eebed0ef,1.68E+12,0,0,0,0,0,1,0,39.99
payment,c1df92fc-48a3-4d0f-a384-d0a8eb45660a,1.68E+12,0,0,0,0,0,1,0,39.99
payment,f6ec19c3-c2ce-46a2-8a47-52f3bc0372e8,1.68E+12,0,0,0,0,0,1,0,39.99
payment,ee7f9672-a500-4d8f-a3ee-e9d919445418,1.68E+12,0,0,0,0,0,1,0,39.99
payment,d67bcbdd-a6bb-43ed-9c10-449b8387d251,1.68E+12,0,0,0,0,0,1,0,39.99
payment,53b33c6e-87ac-43fb-863e-0f17c49fe8a0,1.68E+12,0,0,0,0,0,1,0,39.99
payment,927c470f-ac35-42f7-9288-f776bf693229,1.68E+12,0,0,0,0,0,1,0,39.99
payment,2ef529c3-386e-40ff-b192-c7a4d2844c9b,1.68E+12,0,0,0,0,0,1,0,39.99
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.68E+12,0,0,0,0,0,1,0,39
payment,3f0be2d7-25af-44dd-9962-c84ca66b3194,1.68E+12,0,0,0,0,0,1,0,39.99
payment,7e24a745-5d34-40ff-ae8d-511edac1e0bf,1.68E+12,0,0,0,0,0,1,0,39.99
payment,d5a77d5c-06e8-43ff-b0bc-ec0b23953700,1.68E+12,0,0,0,0,0,1,0,39.99
payment,395ffce2-89f4-40ad-a17c-eaf975694ea5,1.68E+12,0,0,0,0,0,1,0,39.99
payment,98870a9d-d281-4075-8a3e-32961b941c96,1.68E+12,0,0,0,0,0,2,0,79.98
payment,d862b622-d53d-4b59-8cc8-911a4a7222a4,1.68E+12,0,0,0,0,0,1,0,39.99
payment,714e1c6a-7bce-4ff0-8edc-21ffd6f14491,1.68E+12,0,0,0,0,0,1,0,39.99
payment,4626a754-fa44-494a-86b5-bc83b94e130d,1.68E+12,0,0,0,0,0,1,0,39.99
payment,96a36131-dd40-4153-8603-2503a938d534,1.68E+12,0,0,0,0,0,1,0,39.99
payment,387b87d0-8348-4f0d-8844-972b5bedbf3b,1.68E+12,0,0,0,0,0,1,0,39.99
payment,4a1ef901-1884-4177-b1af-da0e4fd37dde,1.68E+12,0,0,0,0,0,1,0,39.99
payment,3b7a3b10-a090-44f6-a0f2-859fd211ee23,1.68E+12,0,0,0,0,0,1,0,39.99
payment,276d95d5-8537-4ca1-aeba-9aa1406375c7,1.68E+12,0,0,0,0,0,1,0,39.99
payment,b30ecfe8-8fa2-4ca7-902e-ff58f6a4ad67,1.68E+12,0,0,0,0,0,1,0,39.99
payment,458e780b-9c4c-465e-8c31-a662cfd8a214,1.68E+12,0,0,0,0,0,1,0,39.99
payment,ce27c99f-a7d7-41d3-adaf-d8b5ad33494c,1.68E+12,0,0,0,0,0,1,0,39.99
payment,e059792e-16cf-4af9-801a-66b049345ef7,1.68E+12,0,0,1,0,0,0,0,69.99
payment,329a5e6f-5d13-42ec-aa4f-f5e5dd523fc3,1.68E+12,0,0,0,0,0,1,0,39.99
payment,860d2561-fc98-4272-aacb-10f1b738779d,1.68E+12,0,0,0,0,0,1,0,39.99
payment,95e78381-366c-433d-b0c6-2b9c06288880,1.68E+12,0,0,0,0,0,1,0,39.99
payment,17d6d7b4-ab81-4a82-93dd-699044ac681c,1.68E+12,0,0,0,0,0,1,0,39.99
payment,4dcaca72-0f48-4479-93c2-35f0f669cf75,1.68E+12,0,0,0,0,0,1,0,39.99
payment,a4b468e2-092f-4844-ab6f-fb2db55615a1,1.68E+12,0,0,0,0,0,0,1,390.99
payment,771c17a9-3fca-4bb2-a2ad-07a865c41653,1.68E+12,0,0,0,0,0,1,0,39.99
payment,95e78381-366c-433d-b0c6-2b9c06288880,1.68E+12,0,0,0,0,0,1,0,39.99
payment,ec7faa96-4342-4b0c-862c-97d617b1e1cb,1.68E+12,0,0,0,0,0,1,0,39.99
payment,191f20a5-c3c3-41fb-9939-b40f77ee27d5,1.68E+12,0,0,0,0,0,1,0,39.99
payment,56a205fe-b61f-47a0-a3f8-8d1f07294912,1.68E+12,0,0,0,0,0,1,0,39.99
